source;target;onset.censored;terminus.censored;duration;edge.id;onset;terminus
27;72;FALSE;FALSE;1;339;1641;1642
27;56;FALSE;FALSE;1;340;1641;1642
27;72;FALSE;FALSE;1;341;1641;1642
27;56;FALSE;FALSE;1;342;1641;1642
27;56;FALSE;FALSE;1;343;1641;1642
27;29;FALSE;FALSE;1;344;1641;1642
27;72;FALSE;FALSE;1;345;1642;1643
27;41;FALSE;FALSE;1;346;1642;1643
27;56;FALSE;FALSE;1;347;1642;1643
27;53;FALSE;FALSE;1;348;1642;1643
72;27;FALSE;FALSE;1;349;1642;1643
53;27;FALSE;FALSE;1;350;1642;1643
27;53;FALSE;FALSE;1;351;1642;1643
72;27;FALSE;FALSE;1;352;1642;1643
27;72;FALSE;FALSE;1;353;1642;1643
27;72;FALSE;FALSE;1;354;1642;1643
27;31;FALSE;FALSE;1;355;1642;1643
27;72;FALSE;FALSE;1;356;1642;1643
72;27;FALSE;FALSE;1;357;1642;1643
27;56;FALSE;FALSE;1;358;1642;1643
72;27;FALSE;FALSE;1;359;1642;1643
27;72;FALSE;FALSE;1;360;1642;1643
27;72;FALSE;FALSE;1;361;1642;1643
27;31;FALSE;FALSE;1;362;1642;1643
27;72;FALSE;FALSE;1;363;1642;1643
72;27;FALSE;FALSE;1;364;1642;1643
27;72;FALSE;FALSE;1;365;1642;1643
72;27;FALSE;FALSE;1;366;1642;1643
27;53;FALSE;FALSE;1;367;1642;1643
27;53;FALSE;FALSE;1;368;1642;1643
53;27;FALSE;FALSE;1;369;1642;1643
27;53;FALSE;FALSE;1;370;1642;1643
53;27;FALSE;FALSE;1;371;1642;1643
27;72;FALSE;FALSE;1;372;1642;1643
72;27;FALSE;FALSE;1;373;1642;1643
72;27;FALSE;FALSE;1;374;1642;1643
27;56;FALSE;FALSE;1;375;1642;1643
27;53;FALSE;FALSE;1;376;1642;1643
53;27;FALSE;FALSE;1;377;1642;1643
27;8;FALSE;FALSE;1;378;1642;1643
27;53;FALSE;FALSE;1;379;1642;1643
27;70;FALSE;FALSE;1;380;1642;1643
53;27;FALSE;FALSE;1;381;1642;1643
27;53;FALSE;FALSE;1;382;1642;1643
27;56;FALSE;FALSE;1;383;1642;1643
27;56;FALSE;FALSE;1;384;1642;1643
27;56;FALSE;FALSE;1;385;1642;1643
27;83;FALSE;FALSE;1;386;1642;1643
27;56;FALSE;FALSE;1;387;1642;1643
66;27;FALSE;FALSE;1;388;1643;1644
66;27;FALSE;FALSE;1;389;1643;1644
66;27;FALSE;FALSE;1;390;1643;1644
66;27;FALSE;FALSE;1;391;1643;1644
27;70;FALSE;FALSE;1;392;1643;1644
72;27;FALSE;FALSE;1;393;1643;1644
27;55;FALSE;FALSE;1;394;1643;1644
27;56;FALSE;FALSE;1;395;1643;1644
27;53;FALSE;FALSE;1;396;1643;1644
53;27;FALSE;FALSE;1;397;1643;1644
27;53;FALSE;FALSE;1;398;1643;1644
